document	label
fukuda chiyo-ni (kaga no chiyo) (福田 千代尼; 1703 - 2 october 1775) was a japanese poet of the edo period widely regarded as one of the greatest female haiku poets.	0
ss ohio prior to alaska service 1897ss ohio was an iron passenger-cargo steamship built by william cramp & sons in 1872. the second of a series of four pennsylvania-class vessels ohio and her three sister ships—pennsylvania indiana and illinois—were the largest iron ships ever built in the united states at the time of their construction and amongst the first to be fitted with compound steam engines.	 
veermata jijabai technological institute (vjti) formerly victoria jubilee technical institute is located in mumbai maharashtra india and one of the oldest engineering colleges in asia. founded in 1887 it was rechristened to its present name on 26 january 1997.	 
the harlem courthouse at 170 east 121st street on the corner of sylvan place – a remnant of the former boston post road – in the harlem neighborhood of manhattan new york city was built in 1891-93 and was designed by thom & wilson in the romanesque revival style. the brick brownstone bluestone granite and terra cotta building features gables archways an octagonal corner tower and a four-faced clock.	 
musa sikkimensis also called darjeeling banana is a species of the genus musa. it is one of the highest altitude banana species and is found in bhutan and india.	 
schizaea is a small genus of specialized ferns in the family schizaeaceae. some species are very small and inconspicuous and so may often be overlooked in nature. the genus is distinctive and not at all like the common conception of a fern; the barren fronds (trophophylls) are grass-like and the spore-bearing fertile frond (sporophyll) is similar but with a small pinnate fertile segment at its apex.	 
sin chung-kai sbs jp (chinese: 單仲偕) (born 15 june 1960 in hong kong with family roots in dongguan guangdong) is a member of hong kong legislative council and former member of kwai tsing district council. he was one of two vice-chairmen of the democratic party until december 2012 but now serves as a member of the executive committee.	 
anne malherbe gosselin has been the current first lady of ecuador since the inauguration of her husband rafael correa as president of ecuador in january 2007. she was born namur belgium as the daughter of paul malherbe and chantal gosselin. she met rafael while both were attending courses in the catholic university of louvain in belgium. some time later they got married and set up residency in ecuador.	 
hendovan (persian: هندوان‎ also romanized as hendovān and hendvān) is a village in firuraq rural district in the central district of khoy county west azerbaijan province iran. at the 2006 census its population was 1107 in 166 families.	 
eugeniusz kłopotek (born 15 november 1953 in chojnice poland) is a polish politician who is a member of the sejm of poland (1997-2005 and since 2007) member of the european parliament (2004) and member of the kuyavian-pomeranian regional assembly (2006-2007).between 1982 and 1988 he was a head of gmina warlubie (polish: naczelnik gminy warlubie); currently vogt (wójt). until 1990 he working in bydgoszcz voivodeship office as vice-director of the department of agriculture.	 
boronia heights college is a public secondary school in boronia a suburb of melbourne victoria australia.it has formerly had the names of boronia technical school and boronia heights secondary college.	2
dendrochilum (commonly abbreviated ddc. in horticulture) is a genus of epiphytic lithophytic and a few terrestrial flowering plants in the orchid family (orchidaceae). the name of this genus is derived from ancient greek words dendron (tree) and either cheilos (lip) or chilos (green food) alluding to either the flowers' large lip or to their epiphytic growth. these orchids are popular among fans of non-traditional orchid curiosities.	

nasirabad (persian: نصيراباد‎ also romanized as naşīrābād) is a village in balyan rural district in the central district of kazerun county fars province iran. at the 2006 census its population was 486 in 99 families.	1
plagiobothrys chorisianus is a species of flowering plant in the borage family known by the common name artist's popcornflower. it is endemic to california where it can be found in and around the san francisco bay area and parts of the coastline to the south. it is a resident of chaparral coastal scrub and grassland habitat. it is an annual herb with a spreading or erect stem 10 to 40 centimeters in length. the leaves along the stem are 3 to 7 centimeters long and coated in rough hairs.	 
austan dean goolsbee (born august 18 1969) is an american economist and the robert p. gwinn professor of economics at the university of chicago's booth school of business. goolsbee formerly served as the chairman of the council of economic advisers and was the youngest member of the cabinet of president barack obama.goolsbee served on the three-member council from the start of the obama administration. he advised president obama during his 2004 u.s.	 
steven steve mcmanaman (born 11 february 1972) is an english former footballer who played as a midfielder winger and playmaker for liverpool real madrid and manchester city.	 
nerella venu madhav (born 28 december 1932) popularly known as nv is a famous mimic from india. he rose to popularity imitating celebrities politicians local dialects nizams et cetera. he started a diploma course at telugu university a first in the world. he is often regarded as father of indian mimicry.[citation needed]	 
st michael's church is an anglican church in the village of st michael's on wyre lancashire england. it is a typical late medieval church and has been designated by english heritage as a grade i listed building. it is an active parish church in the diocese of blackburn and the archdeaconry of lancaster.	 
tami hoag (born tami mikkelson on january 20 1959) is an american novelist best known for her work in the romance and thriller genres. more than 22 million copies of her books are in print.	 
academa is a privately held slovenian engineering software development company founded in 1992 and based in ljubljana. the company is oriented to custom made solutions fitted to special purpose based on: modeling of processes numerical analysis optimization methods geometric modeling topology and formal logic.the name of the company is an acronym foradvanced computer aided design engineering manufacturing agency.	 
certified acceptance corporation (cac) is a coin grade verification service. it was founded in 2007 to examine and evaluate coins that have been previously certified by numismatic guaranty corporation (ngc) or professional coin grading service (pcgs). cac examines a coin to determine whether in its opinion the coin is correctly over- or under-graded. coins that are correctly graded will have a green tamper-evident holographic sticker affixed to their holders.	 
downiewo [dɔvˈɲevɔ] is a village in the administrative district of gmina gródek within białystok county podlaskie voivodeship in north-eastern poland close to the border with belarus. it lies approximately 13 kilometres (8 mi) west of gródek and 22 km (14 mi) east of the regional capital białystok.	 
the oanțul river is a tributary of the bistriţa river in romania.	5
st. joseph parish - designated for polish immigrants in suffield connecticut united states. founded on march 12 1916. it is one of the polish-american roman catholic parishes in new england in the archdiocese of hartford.	

transtillaspis saragurana is a species of moth of the tortricidae family. it is found in ecuador (loja province).the wingspan is about 23 mm. the ground colour of the forewings is yellowish brown with chestnut admixture darker basally and terminally. the hindwings are cream tinged with pale ferruginous on the periphery and spotted with grey.	2
the glasgow and south western railway (gswr) 52 class was a class of six 0-4-0 steam goods locomotives designed in 1864 by patrick stirling. the design was later continued by a similar design by his brother james stirling (1835–1917).	 
hep-me records is a mississippi based blues and zydeco record label. it is affiliated with mardi gras records and run by music industry veteran senator jones.	 
washington park is a neighborhood and public urban park in denver colorado. the washington park located in denver colorado united states is a blend of historic and contemporary styles of architecture. its historic buildings lakes tennis courts lawns large flower gardens and recreation center provide various experiences for visitors. the park was first developed by architect reinhard scheutze in 1899.	 
the neves-stausee is a reservoir in the mühlwaldertal in south tyrol italy. it belongs to the municipality of mühlwald.	 
diodora italica is a sea snail or limpet a marine prosobranch gastropod mollusk in the family fissurellidae the keyhole limpets.	 
cathedral high school is a private roman catholic high school in new ulm minnesota. it is located in the roman catholic diocese of new ulm.	 
poliobotys is a genus of moths of the crambidae family.	 
noella wiyaala (known under the stage name wiyaala) is a ghanaian singer-songwriter. well known for her single make me dance and her androgynous image.	 
hillsborough high school is a public high school located at 5000 n. central ave in the heart of the historic seminole heights neighborhood in tampa florida. hillsborough high is the oldest public high school in hillsborough county florida.hillsborough high is one of four county public schools with an international baccalaureate program.	 
entocolax rimskykorsakovi is a species of sea snail a marine gastropod mollusk in the family eulimidae.	1
for information on the plant cocksfoot please refer to dactylis glomerata.dactylis glomerata is an album by doom metal band candlemass released in 1998. this was the first album they released since their split in 1994 and reunion in 1997. it is the only candlemass album that features guitarist michael amott of arch enemy and carcass notability on lead guitar.in 2006 it was reissued by gmr music as a 2 cd edition.	

nordre svarthaugen is a mountain of oppland in southern norway.	3
the wellington street apartment house district of worcester massachusetts encompasses a collection of stylistically similar apartment houses in the city's main south area. it includes sixteen properties along jacques avenue and wellington and irving streets most of which were built between 1887 and 1901. the notable exception is the harrington house at 62 wellington street a c.	 
shubun university (修文大学 shūbun daigaku) is a private university in ichinomiya aichi japan established in 2008.	 
mordellistena candelabra is a beetle in the mordellistena genus which is in the mordellidae family. it was described in 1939 by ray.	 
coronura is a trilobite in the order phacopida that existed during the middle devonian in what is now new york u.s.a. it was described by hall and clarke in 1888 and the type species is coronura aspectans which was originally described under the genus asaphus by conrad in 1841. the species was described from the onodaga formation.	 
étienne-théodore pâquet (french pronunciation: ​[pɑkɛt]; january 8 1850 – may 26 1916) was a french-canadian civil law notary and provincial politician and civil servant. in 1879 he was one of four liberal members of the legislative assembly who crossed the floor in the middle of a parliamentary crisis causing the joly de lotbinière government to fall.	 
clarence edward heise (august 7 1907 – may 30 1999) was a major league baseball pitcher who played in 1934 with the st. louis cardinals.heise was originally in the chicago cubs organization. in august 1933 cardinals general manager branch rickey called his counterpart with the cubs william veeck sr. and offered him two pitchers—heise and bill lee.	 
the dreieckhorn is a mountain of the bernese alps overlooking konkordiaplatz in the canton of valais.	 
the raffia palms (raphia) are a genus of twenty species of palms native to tropical regions of africa and especially madagascar with one species (r. taedigera) also occurring in central and south america. they grow up to 16 m (52.5 ft) tall and are remarkable for their compound pinnate leaves the longest in the plant kingdom; leaves of r. regalis up to 25 m (82.38 ft) long and 3 m (9.84 ft) wide are known.	 
peperomia millei is a species of plant in the piperaceae family. it is endemic to ecuador.	 
the celair ga-1 celstar is a south african mid-wing single-seat aerobatic glider that was designed by peter cellier and produced by his company celair pty limited.	6
the ss nerissa was a passenger and cargo steamer which was torpedoed and sunk on 30 april 1941 during world war ii by german u-boat u-552 following 39 wartime voyages between canada and britain. she was the only transport carrying canadian troops to be lost during world war ii.	

tony grant a native of north carolina is an american r&b singer writer producer and stage play actor. grant replaced marc nelson as lead singer for r&b group az yet following marc's departure in 1997 to pursue his solo career. included in grant's brief tenure with az yet is the popular remake of you're the inspiration with chicago's peter cetera.grant had star billing in the stage play and dvds tell hell i ain't comin' tyler perry's why did i get married and love ain't supposed to hurt.	4
davallia bullata is a fern in the davalliaceae family found mainly in japan and china. it grows well in shady place. it grows from 20 to 35 cm. it has deciduous bullata and its leaflets are linear.	 
aloysia is a genus of flowering plants in the verbena family verbenaceae. they are known generally as beebrushes. they are native to the americas where they are distributed in temperate climates as well as in subtropical and desert climates. the genus is named for maria luisa of parma (1751-1819) wife of king charles iv of spain.	 
claude andré dubois (born 24 april 1947 in montreal quebec) is a canadian singer-songwriter.dubois was an early star of the francophone musical starmania.	 
sir william osler high school is a high school in scarborough toronto ontario canada named after sir william osler a canadian doctor and medical educator.	 
geosoft incorporated is a software development and services company headquartered in toronto canada. the company provides geophysical and geological software and geospatial server technology for professional geoscientists involved in natural resource exploration and related earth science disciplines.	 
run run shaw creative media centre (abbreviation: cmc chinese: 邵逸夫創意媒體中心) is an academic building on the campus of the city university of hong kong which is built in 2011. it locates on the tat hong avenue kowloon tong. it is in the north to city university’s main campus. it was designed by daniel libeskind cooperating with leigh and orange ltd. the building received architectural awards from emporis and international property awards.	 
estrellita (spanish for little star) is the ring name of viviana ochoa barradas (born october 18 1977 in zamora michoacán mexico) is a mexican luchadora or female professional wrestler currently working for the mexican professional wrestling promotion consejo mundial de lucha libre (cmll) portraying a tecnico (good guy) wrestling character. estrellita worked for asistencia asesoría y administración (aaa) for over 10 years.	 
jerry joseph is an american singer songwriter and guitar player.	 
sergey yuryevich stepanov (russian: серге́й ю́рьевич степа́нов; born april 16 1995) is a russian professional association football player. currently he plays in the russian national football league for fc arsenal tula.	1
braidhurst high school is a non-denominational secondary school located in the forgewood suburb of motherwell north lanarkshire scotland. the school roll is estimated at around 600 pupils. the current rector of the school is derreck hannan.	0
